sk_geografia,country_code,country_code_2,country_name,region
1,AUT,AT,Austria,Europa Occidental
2,BEL,BE,Belgium,Europa Occidental
3,BGR,BG,Bulgaria,Europa Oriental
4,HRV,HR,Croatia,Europa Central
5,CYP,CY,Cyprus,Europa Sur
6,CZE,CZ,Czechia,Europa Central
7,DNK,DK,Denmark,Europa Nórdica
8,EST,EE,Estonia,Europa Báltica
9,FIN,FI,Finland,Europa Nórdica
10,FRA,FR,France,Europa Occidental
11,DEU,DE,Germany,Europa Occidental
12,GRC,GR,Greece,Europa Sur
13,HUN,HU,Hungary,Europa Central
14,IRL,IE,Ireland,Europa Occidental
15,ITA,IT,Italy,Europa Sur
16,LVA,LV,Latvia,Europa Báltica
17,LTU,LT,Lithuania,Europa Báltica
18,LUX,LU,Luxembourg,Europa Occidental
19,MLT,MT,Malta,Europa Sur
20,NLD,NL,Netherlands,Europa Occidental
21,POL,PL,Poland,Europa Central
22,PRT,PT,Portugal,Europa Sur
23,ROU,RO,Romania,Europa Oriental
24,SVK,SK,Slovak Republic,Europa Central
25,SVN,SI,Slovenia,Europa Central
26,ESP,ES,Spain,Europa Sur
27,SWE,SE,Sweden,Europa Nórdica
