sk_indicador,country_code,year,pib_per_capita_usd,dependencia_energetica_pct
1,AUT,2005,38157.37022862,58.41
2,AUT,2006,40382.2078298575,58.41
3,AUT,2007,46622.9622913635,58.41
4,AUT,2008,51581.3982361071,58.41
5,AUT,2009,47857.4446635266,58.41
6,AUT,2010,46611.1393420232,58.41
7,AUT,2011,51116.8953522042,58.41
8,AUT,2012,48250.4059142637,58.41
9,AUT,2013,50305.3545774973,58.41
10,AUT,2014,51314.9722616322,58.41
11,AUT,2015,43915.228020857,60.379
12,AUT,2016,45061.4993920192,62.102
13,AUT,2017,47163.7425775142,63.93
14,AUT,2018,51194.0749841299,64.223
15,AUT,2019,49885.9947355204,71.601
16,AUT,2020,48716.4098900349,58.281
17,AUT,2021,53648.6437976214,51.952
18,AUT,2022,52336.7725223758,73.986
19,AUT,2023,56579.504175468,60.317
20,AUT,2024,58268.8787651601,53.325
21,AUT,2025,29120.375,58.41
22,BEL,2005,36809.7013403619,58.41
23,BEL,2006,38705.1067959147,58.41
24,BEL,2007,44319.165448813,58.41
25,BEL,2008,48303.397956286,58.41
26,BEL,2009,44923.3400135081,58.41
27,BEL,2010,44197.393671162,58.41
28,BEL,2011,47760.8298776546,58.41
29,BEL,2012,44874.1709182123,58.41
30,BEL,2013,46964.5946777056,58.41
31,BEL,2014,47995.7786961339,58.41
32,BEL,2015,40893.804537772,84.227
33,BEL,2016,41854.5498296444,75.982
34,BEL,2017,44035.3239358548,75.318
35,BEL,2018,47487.2100392561,83.043
36,BEL,2019,46716.6227467964,77.668
37,BEL,2020,45906.2875805246,78.133
38,BEL,2021,51658.238294958,70.773
39,BEL,2022,50605.7496677086,73.697
40,BEL,2023,55291.4754541329,75.763
41,BEL,2024,56614.5679499036,75.448
42,BEL,2025,29120.375,58.41
43,BGR,2008,7271.30338858025,58.41
44,BGR,2009,6988.27316296465,58.41
45,BGR,2010,6853.94805511171,58.41
46,BGR,2011,7849.58061302818,58.41
47,BGR,2012,7431.95789508871,58.41
48,BGR,2013,7795.98092108928,58.41
49,BGR,2014,8069.60005667684,58.41
50,BGR,2015,7268.65445473873,36.446
51,BGR,2016,7822.49923292968,38.472
52,BGR,2017,8696.68930427924,39.362
53,BGR,2018,9849.38397225174,36.596
54,BGR,2019,10353.7204584127,38.457
55,BGR,2020,10760.211975413,38.171
56,BGR,2021,12966.1457543396,36.178
57,BGR,2022,13999.1949530956,37.11
58,BGR,2023,15853.208636704,39.512
59,BGR,2024,17596.0173663521,41.936
