sk_tiempo,fecha,anio,trimestre,mes,semana,dia_semana,es_festivo
1,2005-01-03,2005,1,1,1,Monday,False
2,2005-01-10,2005,1,1,2,Monday,False
3,2005-01-17,2005,1,1,3,Monday,False
4,2005-01-24,2005,1,1,4,Monday,False
5,2005-01-31,2005,1,1,5,Monday,False
6,2005-02-07,2005,1,2,6,Monday,False
7,2005-02-14,2005,1,2,7,Monday,False
8,2005-02-21,2005,1,2,8,Monday,False
9,2005-02-28,2005,1,2,9,Monday,False
10,2005-03-07,2005,1,3,10,Monday,False
11,2005-03-14,2005,1,3,11,Monday,False
12,2005-03-21,2005,1,3,12,Monday,False
13,2005-04-04,2005,2,4,14,Monday,False
14,2005-04-11,2005,2,4,15,Monday,False
15,2005-04-18,2005,2,4,16,Monday,False
16,2005-04-25,2005,2,4,17,Monday,False
17,2005-05-02,2005,2,5,18,Monday,False
18,2005-05-09,2005,2,5,19,Monday,False
19,2005-05-16,2005,2,5,20,Monday,False
20,2005-05-23,2005,2,5,21,Monday,False
21,2005-05-30,2005,2,5,22,Monday,False
22,2005-06-06,2005,2,6,23,Monday,False
23,2005-06-13,2005,2,6,24,Monday,False
24,2005-06-20,2005,2,6,25,Monday,False
25,2005-06-27,2005,2,6,26,Monday,False
26,2005-07-04,2005,3,7,27,Monday,False
27,2005-07-11,2005,3,7,28,Monday,False
28,2005-07-18,2005,3,7,29,Monday,False
29,2005-07-25,2005,3,7,30,Monday,False
30,2005-08-01,2005,3,8,31,Monday,False
31,2005-08-08,2005,3,8,32,Monday,False
32,2005-08-15,2005,3,8,33,Monday,False
33,2005-08-22,2005,3,8,34,Monday,False
34,2005-08-29,2005,3,8,35,Monday,False
35,2005-09-05,2005,3,9,36,Monday,False
36,2005-09-12,2005,3,9,37,Monday,False
37,2005-09-19,2005,3,9,38,Monday,False
38,2005-09-26,2005,3,9,39,Monday,False
39,2005-10-03,2005,4,10,40,Monday,False
40,2005-10-10,2005,4,10,41,Monday,False
41,2005-10-17,2005,4,10,42,Monday,False
42,2005-10-24,2005,4,10,43,Monday,False
43,2005-11-07,2005,4,11,45,Monday,False
44,2005-11-14,2005,4,11,46,Monday,False
45,2005-11-21,2005,4,11,47,Monday,False
46,2005-11-28,2005,4,11,48,Monday,False
47,2005-12-05,2005,4,12,49,Monday,False
48,2005-12-12,2005,4,12,50,Monday,False
49,2005-12-19,2005,4,12,51,Monday,False
50,2006-01-09,2006,1,1,2,Monday,False
51,2006-01-16,2006,1,1,3,Monday,False
52,2006-01-23,2006,1,1,4,Monday,False
53,2006-01-30,2006,1,1,5,Monday,False
54,2006-02-06,2006,1,2,6,Monday,False
55,2006-02-13,2006,1,2,7,Monday,False
56,2006-02-20,2006,1,2,8,Monday,False
57,2006-02-27,2006,1,2,9,Monday,False
58,2006-03-06,2006,1,3,10,Monday,False
59,2006-03-13,2006,1,3,11,Monday,False
