DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Albania,2015,12.593,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Albania,2016,20.128,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Albania,2017,38.126,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Albania,2018,20.967,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Albania,2019,31.546,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Albania,2020,35.822,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Albania,2021,23.765,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Albania,2022,31.467,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Albania,2023,21.845,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Albania,2024,27.138,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Austria,2015,60.379,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Austria,2016,62.102,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Austria,2017,63.930,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Austria,2018,64.223,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Austria,2019,71.601,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Austria,2020,58.281,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Austria,2021,51.952,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Austria,2022,73.986,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Austria,2023,60.317,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Austria,2024,53.325,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bosnia and Herzegovina,2015,33.693,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bosnia and Herzegovina,2016,31.518,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bosnia and Herzegovina,2017,34.031,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bosnia and Herzegovina,2018,24.263,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bosnia and Herzegovina,2019,27.377,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bosnia and Herzegovina,2020,25.398,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bosnia and Herzegovina,2021,27.151,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bosnia and Herzegovina,2022,26.281,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bosnia and Herzegovina,2023,24.836,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bosnia and Herzegovina,2024,27.796,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Belgium,2015,84.227,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Belgium,2016,75.982,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Belgium,2017,75.318,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Belgium,2018,83.043,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Belgium,2019,77.668,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Belgium,2020,78.133,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Belgium,2021,70.773,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Belgium,2022,73.697,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Belgium,2023,75.763,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Belgium,2024,75.448,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bulgaria,2015,36.446,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bulgaria,2016,38.472,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bulgaria,2017,39.362,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bulgaria,2018,36.596,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bulgaria,2019,38.457,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bulgaria,2020,38.171,,
ESTAT:NRG_IND_ID$DEFAULTVIEW(1.0),21/04/26 23:00:00,Annual,Total,Percentage,Bulgaria,2021,36.178,,
